timeOpen,open
2021-02-19T00:00:00.000Z,1.1594059493
2021-02-20T00:00:00.000Z,1.1705028744
2021-02-21T00:00:00.000Z,1.4149339672
2021-02-22T00:00:00.000Z,1.3866114953
2021-02-23T00:00:00.000Z,1.3857071062
2021-02-24T00:00:00.000Z,1.2027581919
2021-02-25T00:00:00.000Z,1.315537246
2021-02-26T00:00:00.000Z,1.3633643456
2021-02-27T00:00:00.000Z,1.5822682329
2021-02-28T00:00:00.000Z,1.6859062597
2021-03-01T00:00:00.000Z,1.6630646229
2021-03-02T00:00:00.000Z,1.6352709708
2021-03-03T00:00:00.000Z,1.5488495757
2021-03-04T00:00:00.000Z,1.5418015126
2021-03-05T00:00:00.000Z,1.4133125624
2021-03-06T00:00:00.000Z,1.4773104084
2021-03-07T00:00:00.000Z,1.4309878229
2021-03-08T00:00:00.000Z,1.4311286711
2021-03-09T00:00:00.000Z,1.4154500846
2021-03-10T00:00:00.000Z,1.511380692
2021-03-11T00:00:00.000Z,1.4317995068
2021-03-12T00:00:00.000Z,1.4100668395
2021-03-13T00:00:00.000Z,1.296098706
2021-03-14T00:00:00.000Z,1.3760800438
2021-03-15T00:00:00.000Z,1.3200336516
2021-03-16T00:00:00.000Z,1.2892687482
2021-03-17T00:00:00.000Z,1.5473985132
2021-03-18T00:00:00.000Z,1.7076413348
2021-03-19T00:00:00.000Z,1.5476472914
2021-03-20T00:00:00.000Z,1.6301029907
2021-03-21T00:00:00.000Z,1.5110637986
2021-03-22T00:00:00.000Z,1.4893809956
2021-03-23T00:00:00.000Z,1.3890470345
2021-03-24T00:00:00.000Z,1.4118067687
2021-03-25T00:00:00.000Z,1.3517256806
2021-03-26T00:00:00.000Z,1.3880764642
2021-03-27T00:00:00.000Z,1.531260973
2021-03-28T00:00:00.000Z,1.4842637457
2021-03-29T00:00:00.000Z,1.498900488
2021-03-30T00:00:00.000Z,1.5141523055
2021-03-31T00:00:00.000Z,1.5319004083
2021-04-01T00:00:00.000Z,1.4996611634
2021-04-02T00:00:00.000Z,1.4922777215
2021-04-03T00:00:00.000Z,1.5043805109
2021-04-04T00:00:00.000Z,1.4750132331
2021-04-05T00:00:00.000Z,1.4971298871
2021-04-06T00:00:00.000Z,1.5203276942
2021-04-07T00:00:00.000Z,1.5782980567
2021-04-08T00:00:00.000Z,1.4837499301
2021-04-09T00:00:00.000Z,1.5320304209
2021-04-10T00:00:00.000Z,1.5079790209
2021-04-11T00:00:00.000Z,1.5265556064
2021-04-12T00:00:00.000Z,1.5871261614
2021-04-13T00:00:00.000Z,1.6518861816
2021-04-14T00:00:00.000Z,1.7686166464
2021-04-15T00:00:00.000Z,1.8197633877
2021-04-16T00:00:00.000Z,1.85643621
2021-04-17T00:00:00.000Z,1.7685058293
2021-04-18T00:00:00.000Z,1.7339043287
2021-04-19T00:00:00.000Z,1.599886008
2021-04-20T00:00:00.000Z,1.4961108684
2021-04-21T00:00:00.000Z,1.5989304913
2021-04-22T00:00:00.000Z,1.5053474254
2021-04-23T00:00:00.000Z,1.432631868
2021-04-24T00:00:00.000Z,1.4456689383
2021-04-25T00:00:00.000Z,1.3757052941
2021-04-26T00:00:00.000Z,1.361595486
2021-04-27T00:00:00.000Z,1.534203652
2021-04-28T00:00:00.000Z,1.6203189431
2021-04-29T00:00:00.000Z,1.6451019931
2021-04-30T00:00:00.000Z,1.6035579276
2021-05-01T00:00:00.000Z,1.6623950788
2021-05-02T00:00:00.000Z,1.6611303529
2021-05-03T00:00:00.000Z,1.6295028886
2021-05-04T00:00:00.000Z,1.6736204293
2021-05-05T00:00:00.000Z,1.5637577481
2021-05-06T00:00:00.000Z,1.8134711223
2021-05-07T00:00:00.000Z,2.0041022489
2021-05-08T00:00:00.000Z,2.0078886715
2021-05-09T00:00:00.000Z,1.9663884509
2021-05-10T00:00:00.000Z,2.1399055482
2021-05-11T00:00:00.000Z,1.9855520407
2021-05-12T00:00:00.000Z,2.1334091243
2021-05-13T00:00:00.000Z,1.9010661225
2021-05-14T00:00:00.000Z,2.3456475799
2021-05-15T00:00:00.000Z,2.4296802715
2021-05-16T00:00:00.000Z,2.6292375513
2021-05-17T00:00:00.000Z,2.786335108
2021-05-18T00:00:00.000Z,2.4466018731
2021-05-19T00:00:00.000Z,2.4225162025
2021-05-20T00:00:00.000Z,1.7857385988
2021-05-21T00:00:00.000Z,2.1740053087
2021-05-22T00:00:00.000Z,1.8742505491
2021-05-23T00:00:00.000Z,1.7687384847
2021-05-24T00:00:00.000Z,1.5887487767
2021-05-25T00:00:00.000Z,1.8682456147
2021-05-26T00:00:00.000Z,1.8756882966
2021-05-27T00:00:00.000Z,2.1606301816
2021-05-28T00:00:00.000Z,1.9925070044
2021-05-29T00:00:00.000Z,1.8279273111
2021-05-30T00:00:00.000Z,1.6960963766
2021-05-31T00:00:00.000Z,1.9031807308
2021-06-01T00:00:00.000Z,2.0967664124
2021-06-02T00:00:00.000Z,2.0956881014
2021-06-03T00:00:00.000Z,2.11270271
2021-06-04T00:00:00.000Z,2.2363441643
2021-06-05T00:00:00.000Z,2.0661774336
2021-06-06T00:00:00.000Z,2.0015844802
2021-06-07T00:00:00.000Z,2.0253424251
2021-06-08T00:00:00.000Z,1.8939676247
2021-06-09T00:00:00.000Z,1.9181733783
2021-06-10T00:00:00.000Z,1.9720614524
2021-06-11T00:00:00.000Z,1.8545662329
2021-06-12T00:00:00.000Z,1.7476796351
2021-06-13T00:00:00.000Z,1.7996734219
2021-06-14T00:00:00.000Z,1.8932758886
2021-06-15T00:00:00.000Z,1.9111962382
2021-06-16T00:00:00.000Z,1.8970816313
2021-06-17T00:00:00.000Z,1.822833815
2021-06-18T00:00:00.000Z,1.8306065318
2021-06-19T00:00:00.000Z,1.7668440615
2021-06-20T00:00:00.000Z,1.7292097102
2021-06-21T00:00:00.000Z,1.7767573104
2021-06-22T00:00:00.000Z,1.4537578149
2021-06-23T00:00:00.000Z,1.422954225
2021-06-24T00:00:00.000Z,1.5398945769
2021-06-25T00:00:00.000Z,1.6753243755
2021-06-26T00:00:00.000Z,1.5416356831
2021-06-27T00:00:00.000Z,1.5385960331
2021-06-28T00:00:00.000Z,1.6434798642
2021-06-29T00:00:00.000Z,1.6349535411
2021-06-30T00:00:00.000Z,1.7021372392
2021-07-01T00:00:00.000Z,1.7151130585
2021-07-02T00:00:00.000Z,1.6583385676
2021-07-03T00:00:00.000Z,1.7170725432
2021-07-04T00:00:00.000Z,1.7292119442
2021-07-05T00:00:00.000Z,1.8018467206
2021-07-06T00:00:00.000Z,1.7335818058
2021-07-07T00:00:00.000Z,1.7643395688
2021-07-08T00:00:00.000Z,1.7537668382
2021-07-09T00:00:00.000Z,1.6632148189
2021-07-10T00:00:00.000Z,1.6811977504
2021-07-11T00:00:00.000Z,1.6615016623
2021-07-12T00:00:00.000Z,1.6785383709
2021-07-13T00:00:00.000Z,1.636790939
2021-07-14T00:00:00.000Z,1.5839803117
2021-07-15T00:00:00.000Z,1.5816586412
2021-07-16T00:00:00.000Z,1.5425215438
2021-07-17T00:00:00.000Z,1.4780772542
2021-07-18T00:00:00.000Z,1.4796741307
2021-07-19T00:00:00.000Z,1.4914290498
2021-07-20T00:00:00.000Z,1.4315247541
2021-07-21T00:00:00.000Z,1.3363910118
2021-07-22T00:00:00.000Z,1.4712057068
2021-07-23T00:00:00.000Z,1.4904578687
2021-07-24T00:00:00.000Z,1.5163178487
2021-07-25T00:00:00.000Z,1.5495988384
2021-07-26T00:00:00.000Z,1.5442989954
2021-07-27T00:00:00.000Z,1.5753331473
2021-07-28T00:00:00.000Z,1.6127717991
2021-07-29T00:00:00.000Z,1.6107221871
2021-07-30T00:00:00.000Z,1.6007264676
2021-07-31T00:00:00.000Z,1.6333418141
2021-08-01T00:00:00.000Z,1.6469250956
2021-08-02T00:00:00.000Z,1.6405748023
2021-08-03T00:00:00.000Z,1.6369315523
2021-08-04T00:00:00.000Z,1.7166809333
2021-08-05T00:00:00.000Z,1.7273217199
2021-08-06T00:00:00.000Z,1.7330007056
2021-08-07T00:00:00.000Z,1.7603070064
2021-08-08T00:00:00.000Z,1.8493550089
2021-08-09T00:00:00.000Z,1.7936600259
2021-08-10T00:00:00.000Z,1.8552732382
2021-08-11T00:00:00.000Z,2.1007327938
2021-08-12T00:00:00.000Z,2.2461689929
2021-08-13T00:00:00.000Z,2.2946700646
2021-08-14T00:00:00.000Z,2.676226915
2021-08-15T00:00:00.000Z,2.7400411726
2021-08-16T00:00:00.000Z,2.7139001406
2021-08-17T00:00:00.000Z,2.6053905153
2021-08-18T00:00:00.000Z,2.43010229
2021-08-19T00:00:00.000Z,2.666287865
2021-08-20T00:00:00.000Z,3.128078928
2021-08-21T00:00:00.000Z,3.1503943515
2021-08-22T00:00:00.000Z,3.1243002958
2021-08-23T00:00:00.000Z,3.4740985065
2021-08-24T00:00:00.000Z,3.6950247188
2021-08-25T00:00:00.000Z,3.4336514629
2021-08-26T00:00:00.000Z,3.4509939035
2021-08-27T00:00:00.000Z,3.2117532614
2021-08-28T00:00:00.000Z,3.7201594591
2021-08-29T00:00:00.000Z,3.5973348895
2021-08-30T00:00:00.000Z,3.5957820594
2021-08-31T00:00:00.000Z,3.4517079384
2021-09-01T00:00:00.000Z,3.4947893369
2021-09-02T00:00:00.000Z,3.6222125968
2021-09-03T00:00:00.000Z,3.7149612887
2021-09-04T00:00:00.000Z,3.7155515816
2021-09-05T00:00:00.000Z,3.5468265968
2021-09-06T00:00:00.000Z,3.6488252489
2021-09-07T00:00:00.000Z,3.5508047094
2021-09-08T00:00:00.000Z,3.1703366222
2021-09-09T00:00:00.000Z,3.0551734525
2021-09-10T00:00:00.000Z,3.1887946963
2021-09-11T00:00:00.000Z,3.0274572648
2021-09-12T00:00:00.000Z,3.3525883643
2021-09-13T00:00:00.000Z,3.2757662933
2021-09-14T00:00:00.000Z,3.0398911326
2021-09-15T00:00:00.000Z,3.042549772
2021-09-16T00:00:00.000Z,3.159546948
2021-09-17T00:00:00.000Z,3.0670813884
2021-09-18T00:00:00.000Z,2.9953662721
2021-09-19T00:00:00.000Z,3.0241109849
2021-09-20T00:00:00.000Z,2.9151174939
2021-09-21T00:00:00.000Z,2.6627738831
2021-09-22T00:00:00.000Z,2.5432152647
2021-09-23T00:00:00.000Z,2.8894100391
2021-09-24T00:00:00.000Z,2.9491686973
2021-09-25T00:00:00.000Z,2.8840070088
2021-09-26T00:00:00.000Z,2.9130512594
2021-09-27T00:00:00.000Z,2.798243812
2021-09-28T00:00:00.000Z,2.6935447492
2021-09-29T00:00:00.000Z,2.5849364699
2021-09-30T00:00:00.000Z,2.6358138255
2021-10-01T00:00:00.000Z,2.6843517509
2021-10-02T00:00:00.000Z,2.8511922224
2021-10-03T00:00:00.000Z,2.8445989364
2021-10-04T00:00:00.000Z,2.8439215077
2021-10-05T00:00:00.000Z,2.7562515612
2021-10-06T00:00:00.000Z,2.8099921061
2021-10-07T00:00:00.000Z,2.7815846319
2021-10-08T00:00:00.000Z,2.858574616
2021-10-09T00:00:00.000Z,2.787058535
2021-10-10T00:00:00.000Z,2.8279198274
2021-10-11T00:00:00.000Z,2.736602097
2021-10-12T00:00:00.000Z,2.7131022424
2021-10-13T00:00:00.000Z,2.6444756488
2021-10-14T00:00:00.000Z,2.7206961018
2021-10-15T00:00:00.000Z,2.6891449091
